,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1640882,fg15w,3r2k1/5p1p/p1p1pp2/8/2P5/1P6/P4PPP/4R1K1 w - - 0 25,e1e2 d8d1 e2e1 d1e1,594,143,0,21,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/bXW5Vttl#49
1654269,g0uXJ,r1b1k1nr/pppp1ppp/1q6/4P3/8/1PN5/P1P3PP/R1BQ1BKR w kq - 1 11,c1e3 b6e3,595,109,-25,57,hangingPiece kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/zOmdYVT4#21
2364811,y5Hve,2rR2k1/1p4pp/p3q3/4b3/PP2n3/1Q2P3/1B3PPP/6K1 b - - 1 26,c8d8 b3e6,595,136,0,31,advantage endgame hangingPiece oneMove,https://lichess.org/f933La7c/black#52
1576011,e1bUf,8/6p1/2pR4/p3k1p1/4r3/1P6/P1P2PPP/6K1 w - - 3 31,d6c6 e4e1,595,99,47,79,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/kLoyuH8T#61
1793634,jYW2E,3r2k1/5p1p/2Q3p1/2q5/P7/4P3/5PPP/6K1 w - - 0 30,c6c5 d8d1,595,145,9,19,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/2Wo58xtK#59
2304462,wXtmn,1k2Q2r/p1p5/Bp3prq/3P4/4R2P/6P1/PP3P2/R5K1 b - - 1 25,h8e8 e4e8,595,112,47,69,endgame mate mateIn1 oneMove,https://lichess.org/5GsByZCW/black#50
1177077,TtyaC,4R2k/6p1/p5Bp/8/1nP5/5r1P/5P2/6K1 b - - 1 34,f3f8 e8f8,595,163,-50,15,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/SrgQ19Kn/black#68
405347,AHNRv,r1b1k2r/pp2b1pp/2n1pq2/2p3N1/5P2/P2Q4/1PP1B1PP/R1B1K2R b KQkq - 2 12,e8g8 d3h7,595,212,-71,15,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/MQ0eHa7D/black#24
404881,AGcPv,1r1Q2k1/5ppp/4p3/4P3/1p1R1PP1/8/r1qpK2P/3R4 b - - 1 33,b8d8 d4d8,596,140,17,46,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/fuzQcV2s/black#66
1553821,dSPG8,4r3/1Q3p1k/p6p/2p2p2/P2r4/1P1P4/2P2PPP/R3q1K1 w - - 3 30,a1e1 e8e1,597,130,44,53,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/xv8XKWyE#59
1343232,Y7wsn,8/ppk2p1p/2pprp2/8/8/3P1P1P/PPP2PB1/2KR4 w - - 0 21,d1e1 e6e1,597,105,43,59,crushing endgame hangingPiece oneMove,https://lichess.org/hDGhUd08#41
1788734,jQwEA,r2qr1k1/pb1n1ppp/1p2pb2/3p4/3P1P1P/2PB1N2/PP1NQ1P1/R3K2R w KQ - 1 13,d3h7 g8h7,597,119,50,66,advantage hangingPiece middlegame oneMove,https://lichess.org/ITAZsVPq#25
227311,5m3sx,8/RP4p1/3p1kp1/3Pp3/4p3/1r2Pp1P/5PP1/5K2 w - - 0 30,g2g3 b3b1,597,116,50,52,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/lKBk4JTn#59
182463,4d84x,4QR1k/1pq3pp/p5nr/2p1p3/8/1PPP2PP/P3N1BK/8 b - - 0 32,g6f8 e8f8,597,104,39,63,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/i2tqJvI1/black#64
